Estado,Día Infección,Sacrificados,Inventario,% Perdido
Veracruz,0,4629432,4634761,99.9
Puebla,25,750364,751229,99.9
Guanajuato,26,799361,800283,99.9
Chiapas,27,2630430,2633463,99.9
México,27,586142,586818,99.9
Tamaulipas,28,1218829,1220235,99.9
Campeche,28,676466,677246,99.9
Michoacán,28,2009966,2012284,99.9
Durango,29,1361656,1363227,99.9
Guerrero,29,1312481,1313995,99.9
Oaxaca,29,1842765,1844891,99.9
Tabasco,30,1718843,1720826,99.9
Sonora,31,1653228,1655136,99.9
Jalisco,34,3111998,3115594,99.9
Querétaro,36,359580,359995,99.9
Morelos,36,107982,108107,99.9
Yucatán,36,604837,605536,99.9
Chihuahua,44,2243201,2245810,99.9
Nuevo León,44,601556,602254,99.9
Tlaxcala,50,46867,46922,99.9
Zacatecas,51,1008869,1010051,99.9
Hidalgo,55,472748,473305,99.9
San Luis Potosí,55,1055890,1057139,99.9
Nayarit,56,669852,670644,99.9
Sinaloa,56,1664007,1665988,99.9
Aguascalientes,64,93877,93990,99.9
Colima,71,190577,190817,99.9
