Estado,SIR Día Infección,XGB Pred Día,SIR Pico I,XGB Pred Pico,% Sacrificado Día 60
Veracruz,0,29.2,2646298,1722629,96.79
Puebla,25,27.8,428422,636314,68.56
Guanajuato,26,40.7,457385,449309,64.63
México,27,37.8,335894,346177,63.78
Chiapas,27,27.6,1503947,1167853,47.59
Campeche,28,35.5,386879,494428,58.46
Tamaulipas,28,52.4,697685,620724,52.0
Michoacán,28,33.9,1151854,927708,45.87
Durango,29,42.9,780310,843776,45.66
Oaxaca,29,27.7,1055023,958041,41.68
Guerrero,29,41.6,752101,588687,46.13
Tabasco,30,28.0,982061,1022067,37.08
Sonora,31,48.4,943049,654659,31.93
Jalisco,34,30.0,1783195,1486401,9.86
Yucatán,36,37.2,346614,295434,18.19
Morelos,36,55.0,61831,54454,41.68
Querétaro,36,49.4,205815,121755,24.91
Chihuahua,44,37.5,1283594,960438,0.29
Nuevo León,44,38.5,344740,479317,1.07
Tlaxcala,50,39.3,26825,43221,1.18
Zacatecas,51,49.8,577097,456389,0.04
Hidalgo,55,39.5,269877,197190,0.01
San Luis Potosí,55,30.1,602962,585652,0.01
Nayarit,56,43.4,383227,449178,0.01
Sinaloa,56,33.0,949511,952864,0.0
Aguascalientes,64,42.9,53589,107397,0.0
Colima,71,42.2,109156,176464,0.0
